,0
0,Louisiana
1,Virginia
2,Kentucky
3,Rhode Island
4,Alabama
5,North Dakota
6,Illinois
7,North Carolina
8,Tennessee
9,Arkansas
10,Idaho
11,South Carolina
12,Missouri
13,Oklahoma
14,Wyoming
15,Kansas
16,Colorado
17,Delaware
18,New Hampshire
19,Wisconsin
20,New Mexico
21,Georgia
22,Utah
23,Maryland
24,Maine
25,Massachusetts
26,New Jersey
27,Michigan
28,Vermont
29,Minnesota
30,New York
31,Arizona
32,Iowa
33,Pennsylvania
34,Montana
35,West Virginia
36,Indiana
37,Connecticut
38,Mississippi
39,Hawaii
40,South Dakota
41,Nevada
42,Oregon
43,Florida
